city_ascii,state_id,county_name,lat,lng
Port Sulphur,LA,Plaquemines,29.5046,-89.7206
Grayson,CA,Stanislaus,37.5646,-121.1801
Norris,TN,Anderson,36.2137,-84.0629
Corning,IA,Adams,40.9923,-94.7397
Frazee,MN,Becker,46.7282,-95.7026
Helena West Side,MT,Lewis and Clark,46.5966,-112.1148
Weber City,VA,Scott,36.6236,-82.5632
Estancia,NM,Torrance,34.7667,-106.0301
Sneedville,TN,Hancock,36.5366,-83.2098
Seeley Lake,MT,Missoula,47.1624,-113.4547
Comfort,TX,Kendall,29.9704,-98.9046
Lumberton,MS,Lamar,31.0064,-89.4592
Foxfire,NC,Moore,35.1791,-79.5639
Douglass,KS,Butler,37.5169,-97.0105
Green Valley,CA,Solano,38.2607,-122.1622
Red Lick,TX,Bowie,33.4766,-94.1686
South Gull Lake,MI,Kalamazoo,42.3901,-85.4008
Carnegie,OK,Caddo,35.103,-98.5996
Appalachia,VA,Wise,36.9098,-82.7882
Chesapeake,WV,Kanawha,38.2232,-81.5363
Iraan,TX,Pecos,30.9129,-101.9001
Gruetli-Laager,TN,Grundy,35.3726,-85.6375
Lone Oak,TN,Sequatchie,35.2007,-85.3685
Benton,TN,Polk,35.1749,-84.6516
Lauderdale Lakes,WI,Walworth,42.7709,-88.5778
Laingsburg,MI,Shiawassee,42.8906,-84.35
McAlmont,AR,Pulaski,34.7925,-92.196
Apple Mountain Lake,VA,Warren,38.9231,-78.1033
Maunabo,PR,Maunabo,18.0056,-65.9009
South River,NM,San Juan,36.7892,-108.06
DeLisle,MS,Harrison,30.3848,-89.2746
Surrey,ND,Ward,48.2433,-101.1333
Wyoming,IL,Stark,41.0639,-89.7729
Hancock,MD,Washington,39.7054,-78.1749
Galesville,WI,Trempealeau,44.0839,-91.358
Mountain Village,CO,San Miguel,37.9324,-107.8577
Freeman,SD,Hutchinson,43.3475,-97.4306
Akron,IA,Plymouth,42.8268,-96.5572
Random Lake,WI,Sheboygan,43.5541,-87.9548
Palmarejo,PR,Corozal,18.3149,-66.2925
Hayden,AL,Blount,33.8818,-86.7842
Phillips,WI,Price,45.6958,-90.4018
Langhorne,PA,Bucks,40.1777,-74.9212
Oakland,NE,Burt,41.8356,-96.4669
Perry,OH,Lake,41.7636,-81.143
Old Miakka,FL,Sarasota,27.3199,-82.2777
Palm Shores,FL,Brevard,28.1919,-80.6594
Duncan Falls,OH,Muskingum,39.8777,-81.9112
La Parguera,PR,Lajas,17.9748,-67.0458
Seadrift,TX,Calhoun,28.4142,-96.7162
Eagle River,WI,Vilas,45.925,-89.2561
Lake Lure,NC,Rutherford,35.4404,-82.2065
Kalida,OH,Putnam,40.9854,-84.1946
Gruver,TX,Hansford,36.2562,-101.4122
Glenmora,LA,Rapides,30.9733,-92.5824
Warner,OK,Muskogee,35.4905,-95.3087
Eton,GA,Murray,34.8282,-84.7655
Monrovia,IN,Morgan,39.584,-86.4793
East Berlin,PA,Adams,39.9368,-76.9793
Elmore,AL,Elmore,32.5552,-86.3425
Francis,UT,Summit,40.6102,-111.2729
Elephant Butte,NM,Sierra,33.1806,-107.2269
Brocton,NY,Chautauqua,42.3898,-79.4428
Fife Heights,WA,Pierce,47.2596,-122.346
Haymarket,VA,Prince William,38.8121,-77.6363
Morton,TX,Cochran,33.7248,-102.7593
Washington Heights,NY,Orange,41.4692,-74.4177
Monona,IA,Clayton,43.0504,-91.391
Paonia,CO,Delta,38.8698,-107.592
Banner Hill,TN,Unicoi,36.1223,-82.4203
Los Ranchos,CA,San Luis Obispo,35.2104,-120.6295
Basin City,WA,Franklin,46.589,-119.1566
Como,MS,Panola,34.5134,-89.9391
Roxana,IL,Madison,38.8315,-90.0464
Malaga,NJ,Gloucester,39.5787,-75.0589
Walnut Creek,NC,Wayne,35.3051,-77.8714
Cassville,WV,Monongalia,39.675,-80.0678
Frenchtown,MT,Missoula,47.0287,-114.2461
Hebron,NE,Thayer,40.1685,-97.5866
Leona Valley,CA,Los Angeles,34.6147,-118.299
Oak Grove,MS,Lamar,31.2867,-89.4145
Ferndale,CA,Humboldt,40.5781,-124.2612
Elk Rapids,MI,Antrim,44.8949,-85.4053
Hamshire,TX,Jefferson,29.857,-94.3185
Espy,PA,Columbia,41.0055,-76.4164
Stockton,KS,Rooks,39.4251,-99.2764
McComb,OH,Hancock,41.1068,-83.7898
Clay City,KY,Powell,37.8622,-83.9277
Stafford,OR,Clackamas,45.3786,-122.6822
Ferndale,PA,Cambria,40.2883,-78.9179
Madison,MN,Lac qui Parle,45.0127,-96.189
Whitehall,WI,Trempealeau,44.3605,-91.3377
Urbana,IA,Benton,42.2286,-91.8867
Lake Camelot,IL,Peoria,40.6341,-89.7509
Nooksack,WA,Whatcom,48.9276,-122.3186
South Sumter,SC,Sumter,33.8855,-80.3378
Hinckley,MN,Pine,46.0122,-92.9256
East Marion,NY,Suffolk,41.1288,-72.3419
Daniels,WV,Raleigh,37.724,-81.1267
Langhorne Manor,PA,Bucks,40.1657,-74.9174
Big Pine,CA,Inyo,37.1655,-118.2951
Ainsworth,NE,Brown,42.5485,-99.8576
Yacolt,WA,Clark,45.8652,-122.4062
Loganville,PA,York,39.8558,-76.7079
Rossmoyne,OH,Hamilton,39.2153,-84.3888
Mont Alto,PA,Franklin,39.8404,-77.5559
Queens Gate,PA,York,39.9406,-76.6874
John Day,OR,Grant,44.4181,-118.9563
Hooker,OK,Texas,36.8613,-101.2162
Oxford,IN,Benton,40.5214,-87.2482
Teaticket,MA,Barnstable,41.5624,-70.5858
Holland,OH,Lucas,41.6192,-83.7081
West Blocton,AL,Bibb,33.1186,-87.1253
Hurley,NM,Grant,32.6982,-108.1321
Mount Carroll,IL,Carroll,42.0948,-89.977
West Park,NJ,Cumberland,39.44,-75.2624
Conway Springs,KS,Sumner,37.3899,-97.643
Holstein,IA,Ida,42.487,-95.5428
Glouster,OH,Athens,39.5022,-82.0842
Talpa,NM,Taos,36.3421,-105.5923
Westwood,PA,Chester,39.9702,-75.8555
Lamar,TX,Aransas,28.1439,-96.9888
Philmont,NY,Columbia,42.2478,-73.6462
Middletown,VA,Frederick,39.0287,-78.2781
West Baraboo,WI,Sauk,43.4815,-89.7718
Port Barrington,IL,Lake,42.2441,-88.1947
Greenwood,DE,Sussex,38.8072,-75.59
Golden's Bridge,NY,Westchester,41.2878,-73.6682
Milroy,PA,Mifflin,40.7164,-77.587
Cherokee,OK,Alfalfa,36.7507,-98.3577
Park River,ND,Walsh,48.391,-97.7425
Smethport,PA,McKean,41.8075,-78.4439
North Granby,CT,Capitol,42.0152,-72.844
Malvern,OH,Carroll,40.6894,-81.1803
Springfield,NE,Sarpy,41.0854,-96.1333
Parachute,CO,Garfield,39.4508,-108.0529
Wakefield,MI,Gogebic,46.4767,-89.9336
Ransomville,NY,Niagara,43.2396,-78.9129
Enosburg Falls,VT,Franklin,44.9083,-72.8026
Wright-Patterson AFB,OH,Greene,39.8112,-84.0573
Lanark,IL,Carroll,42.1019,-89.8336
Standish,MI,Arenac,43.9794,-83.9637
Ragland,AL,St. Clair,33.7469,-86.1384
Chenoa,IL,McLean,40.7389,-88.7259
Crescent,OK,Logan,35.9518,-97.5948
Aurora,TX,Wise,33.056,-97.5096
Hartington,NE,Cedar,42.6205,-97.2672
Bylas,AZ,Graham,33.1291,-110.1162
Hollis,OK,Harmon,34.6897,-99.9153
New Egypt,NJ,Ocean,40.0645,-74.5284
Bridgeport,NY,Madison,43.1551,-75.9723
Weissport East,PA,Carbon,40.8369,-75.6864
Clinton,LA,East Feliciana,30.8613,-91.015
Rutledge,TN,Grainger,36.2757,-83.5311
Lake Isabella,MI,Isabella,43.6417,-85.003
Mabscott,WV,Raleigh,37.769,-81.2133
Conashaugh Lakes,PA,Pike,41.3041,-74.9933
Bear Creek,AL,Marion,34.2651,-87.7164
Bement,IL,Piatt,39.923,-88.5724
Murphy,NC,Cherokee,35.0932,-84.028
Archer City,TX,Archer,33.5938,-98.6256
Chadbourn,NC,Columbus,34.3251,-78.825
Tornillo,TX,El Paso,31.4366,-106.1033
South Willard,UT,Box Elder,41.3583,-112.0408
Cedarville,AR,Crawford,35.583,-94.3615
Warren,IL,Jo Daviess,42.4948,-89.9913
Ridgeville,SC,Dorchester,33.09,-80.3071
Graysville,TN,Rhea,35.4494,-85.0762
Awendaw,SC,Charleston,32.9661,-79.6586
Redkey,IN,Jay,40.3483,-85.1539
Three Rivers,TX,Live Oak,28.4668,-98.1784
Labadieville,LA,Assumption,29.8246,-90.9525
Slater,IA,Story,41.8807,-93.6911
Tieton,WA,Yakima,46.7027,-120.756
Rocky Point,WA,Kitsap,47.5886,-122.6673
Greenville,FL,Madison,30.4667,-83.6352
Olive Hill,KY,Carter,38.3037,-83.1682
Christmas,FL,Orange,28.5605,-81.0201
North Puyallup,WA,Pierce,47.2015,-122.2742
White Pigeon,MI,St. Joseph,41.7977,-85.6485
Somerset,OH,Perry,39.8064,-82.2996
Fort Benton,MT,Chouteau,47.8291,-110.6557
Suarez,PR,Loíza,18.4311,-65.8515
Susitna North,AK,Matanuska-Susitna,62.1281,-149.8593
Caney,KS,Montgomery,37.014,-95.9315
Elroy,WI,Juneau,43.7419,-90.2704
Chapin,SC,Lexington,34.165,-81.3446
Parklawn,CA,Stanislaus,37.6071,-120.9803
Penn State Erie,PA,Erie,42.1184,-79.9818
Dysart,IA,Tama,42.1721,-92.3091
Shell Rock,IA,Butler,42.7126,-92.5816
Grayville,IL,White,38.2554,-87.997
Elkhart,KS,Morton,37.0038,-101.8944
Jonesboro,IN,Grant,40.4797,-85.6304
Winchester,IL,Scott,39.6298,-90.456
Terry,MS,Hinds,32.1047,-90.298
Lakeview,WA,Grant,47.3755,-119.5044
Vinco,PA,Cambria,40.41,-78.845
Coburg,OR,Lane,44.1394,-123.0588
Smith Center,KS,Smith,39.774,-98.7831
Whiting,WI,Portage,44.4907,-89.56
Spring Green,WI,Sauk,43.1776,-90.0688
Barton,NM,Bernalillo,35.0653,-106.2569
Warsaw,IL,Hancock,40.3509,-91.4277
Bowling Green,VA,Caroline,38.0535,-77.3473
Perryopolis,PA,Fayette,40.0869,-79.7526
Woodville,WI,St. Croix,44.9483,-92.2851
Bent Creek,NC,Buncombe,35.5081,-82.6176
Leoti,KS,Wichita,38.4834,-101.3579
